,0
0,0.0248549334586613
1,0.02452136315996689
2,0.018066842404622918
3,0.024604689507257416
4,0.05811023239105467
5,0.054115073075370224
6,0.06783095049479654
7,0.05800237352885895
8,0.06533613375255043
9,0.05894120155818883
10,0.024095540008847727
11,0.022428716932024306
12,0.01105134260086782
13,0.0493755302731953
14,0.09262861240477782
15,0.10511484032585505
16,0.11309095696797444
17,0.12380776140424932
18,0.09699536315978519
19,0.10610275987594842
20,0.056832389226035396
21,0.0822781948816208
22,0.08021575496310274
23,0.0650540684896802
24,0.05737454739827952
25,0.05313181404083489
26,0.0543231396448044
27,0.08347743465786883
28,0.04638439795327565
29,0.04777467629266163
30,0.040217432710859424
31,0.062117037319001644
32,0.04307849445040257
33,0.012045028663816848
34,0.01929375103541775
35,0.045716588459317586
36,0.025084865471673323
37,0.036935848849160235
38,0.053027725408947624
39,0.05423364658204333
